__ffmeta_header	__ffmeta_order	__chapter_order	__chapter_index	ffmeta_author	ffmeta_title	TIMEBASE	START	END	title	creation_time	location
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	1	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	0	1723	1978 - The Cross-Wits Game Show - 00 Full Episode (September 11, 1978)	1978-09-11T00:00:00-07:00	+33.9487-118.1647+109.52/5800 Firestone Blvd, South Gate, CA 90280
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	2	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	0	118	1978 - The Cross-Wits Game Show - 00 Worthington Doge Car Ad Cal Worthington (September 11, 1978)	1978-09-11T00:00:00-07:00	+33.9487-118.1647+109.52/5800 Firestone Blvd, South Gate, CA 90280
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	3	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	120	679	1978 - The Cross-Wits Game Show - 01 Intro (September 11, 1978)	1978-09-11T00:00:00-07:00	+34.0979-118.3153+109.52/5746 Sunset Boulevard, Los Angeles, CA 90028
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	4	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	680	708	1978 - The Cross-Wits Game Show - 02 Nestle Sunrise Instant Coffee Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	5	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	709	739	1978 - The Cross-Wits Game Show - 03 The Tannery Spray Creme Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	6	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	740	1138	1978 - The Cross-Wits Game Show - 04 First Round (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	7	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1139	1198	1978 - The Cross-Wits Game Show - 05 Custom Craft Carpets Shag Rug Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	8	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1198	1394	1978 - The Cross-Wits Game Show - 06 Second Round (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	9	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1394	1424	1978 - The Cross-Wits Game Show - 07 GTE Phone Mart Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	10	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1424	1453	1978 - The Cross-Wits Game Show - 08 Color Tile Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	11	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1454	1483	1978 - The Cross-Wits Game Show - 09 Kerns Strawberry Preserves Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	12	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1484	1513	1978 - The Cross-Wits Game Show - 10 Lip Quencher Lipstick Ad (September 11, 1978)	1978-09-11T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	13	The Cross-Wits Game Show (American)	Bennett 14 Archive (U-Matic Tape)	1/1	1514	1723	1978 - The Cross-Wits Game Show - 11 Final Crossfire Round with Glenda and Geoff Edwards (September 11, 1978)	1978-09-11T00:00:00-07:00	
