start	end	text	speaker	confidence	source
00:00:29.525	00:00:35.225	Yeah, yeah, come on baby. I think they've pushed off	Lynda	0.6253	whisper
00:00:49.705	00:00:50.665	Hi		0.4856	whisper
00:00:54.005	00:00:54.965	Yeah		0.4856	whisper
00:00:58.925	00:00:59.885	Yeah		0.4856	whisper
00:01:01.945	00:01:03.665	Yeah, well, yeah		0.4856	whisper
00:01:06.705	00:01:08.645	She's doing good busy		0.4856	whisper
00:01:11.345	00:01:14.545	You know, working and everything seems to be doing pretty good		0.5115	whisper
00:01:14.545	00:01:16.025	The plans for letting her come along		0.5115	whisper
00:01:16.885	00:01:18.185	All that kind of good stuff		0.5115	whisper
00:01:19.985	00:01:23.085	Yeah, because um, that's just right on the corner too		0.5115	whisper
00:01:26.225	00:01:28.025	I just want to see what you're doing		0.5115	whisper
00:01:28.025	00:01:28.625	So I didn't know		0.5115	whisper
00:01:34.805	00:01:36.785	Yeah, well, it's supposed to be hard		0.5115	whisper
00:01:39.925	00:01:42.125	Come on Ryan, roll over for Dad		0.6588	whisper
00:01:42.125	00:01:45.485	If you're gonna get a spicy chicken sandwich from Carl's, Daddy		0.6588	whisper
00:01:47.005	00:01:49.065	Make sure you have something to try to		0.6588	whisper
00:01:49.065	00:01:51.745	Come on, you can do it		0.6588	whisper
00:01:51.745	00:01:55.845	If you're gonna get a spicy chicken sandwich, 99 cents		0.6588	whisper
00:01:55.845	00:01:58.665	Daddy is messing around and you're gonna do it again		0.6413	whisper
00:01:59.385	00:02:00.845	I'm gonna miss it		0.6413	whisper
00:02:25.345	00:02:25.825	I'm sorry what she's having		0.6413	whisper
00:02:25.825	00:02:26.925	Uh oh		0.6457	whisper
00:02:27.545	00:02:28.945	Mommy, he's blowing boogers		0.6457	whisper
00:02:30.125	00:02:31.665	Yeah, of course		0.6457	whisper
00:02:32.645	00:02:33.845	He's blowing boogers		0.6457	whisper
00:02:35.465	00:02:36.065	Oh, yeah		0.6457	whisper
00:02:37.385	00:02:38.905	Come on, you can do it		0.6457	whisper
00:02:38.905	00:02:40.505	You just, you just did it		0.6457	whisper
00:02:40.505	00:02:41.785	Two minutes ago		0.6457	whisper
00:02:42.625	00:02:44.125	You did, come on		0.6457	whisper
00:02:44.125	00:02:44.785	You did, come on		0.6457	whisper
00:02:44.785	00:02:46.825	Come on, you can do it		0.6457	whisper
00:02:47.845	00:02:48.405	Oh		0.7741	whisper
00:02:48.405	00:02:49.325	Oh		0.7741	whisper
00:02:49.325	00:02:50.045	Oh		0.7741	whisper
00:02:50.045	00:02:50.085	Oh		0.7741	whisper
00:02:50.085	00:02:50.105	Oh		0.7741	whisper
00:02:51.205	00:02:51.985	Come on		0.7741	whisper
00:02:51.985	00:02:52.165	Oh		0.7741	whisper
00:02:53.945	00:02:54.925	Come on		0.7741	whisper
00:02:54.925	00:02:55.705	Come on		0.7741	whisper
00:02:55.705	00:02:56.325	Daddy		0.7741	whisper
00:02:56.325	00:02:57.005	You know what happened?		0.7741	whisper
00:02:57.205	00:02:57.665	I know		0.7741	whisper
00:02:58.505	00:02:59.625	Come on, honey		0.7741	whisper
00:03:00.185	00:03:01.565	Come on, roll over		0.7741	whisper
00:03:02.225	00:03:03.365	Sounds like a dog		0.7741	whisper
00:03:03.365	00:03:04.825	Come on, honey		0.7741	whisper
00:03:06.165	00:03:08.225	I'll roll all the way over and see mommy		0.7741	whisper
00:03:08.225	00:03:10.425	Roll all the way over and see mommy		0.7741	whisper
00:03:10.425	00:03:11.085	Come on		0.7741	whisper
00:03:11.965	00:03:12.925	Come on		0.7741	whisper
00:03:12.925	00:03:14.425	You can do it		0.7741	whisper
00:03:15.945	00:03:16.925	You can do it		0.8895	whisper
00:03:16.925	00:03:17.365	Oh		0.8895	whisper
00:03:17.365	00:03:17.925	Come on		0.8895	whisper
00:03:18.385	00:03:19.965	That's it, that's the way to do it		0.8895	whisper
00:03:19.965	00:03:20.625	That's right		0.8895	whisper
00:03:20.625	00:03:21.705	I'm gonna just flip over		0.8895	whisper
00:03:21.705	00:03:22.265	Come on		0.8895	whisper
00:03:23.625	00:03:24.345	That's it		0.8895	whisper
00:03:24.345	00:03:25.425	Come on		0.8895	whisper
00:03:27.765	00:03:28.645	Come on		0.8895	whisper
00:03:28.645	00:03:29.005	Oh		0.8895	whisper
00:03:31.385	00:03:32.265	Come on		0.8895	whisper
00:03:32.265	00:03:34.665	I know that wasn't a fluke		0.8895	whisper
00:03:34.665	00:03:35.185	No		0.8895	whisper
00:03:36.925	00:03:38.205	You're not gonna do it now, are you?		0.8895	whisper
00:03:38.285	00:03:39.265	You almost did it		0.8895	whisper
00:03:39.265	00:03:39.825	Almost		0.8895	whisper
00:03:41.285	00:03:41.725	Almost		0.8895	whisper
